Epoch [1/500], TrainLoss: 644436.7827, TestLoss: 599430.6023
Epoch [2/500], TrainLoss: 643668.5043, TestLoss: 599301.8352
Epoch [3/500], TrainLoss: 643874.7599, TestLoss: 598825.6250
Epoch [4/500], TrainLoss: 642542.6605, TestLoss: 596663.7955
Epoch [5/500], TrainLoss: 638394.1506, TestLoss: 591434.3864
Epoch [6/500], TrainLoss: 633401.1307, TestLoss: 585404.1648
Epoch [7/500], TrainLoss: 626146.7656, TestLoss: 579003.3807
Epoch [8/500], TrainLoss: 619877.7685, TestLoss: 572229.8523
Epoch [9/500], TrainLoss: 612283.9901, TestLoss: 565034.4716
Epoch [10/500], TrainLoss: 604540.3473, TestLoss: 557417.0170
Epoch [11/500], TrainLoss: 596218.9411, TestLoss: 549377.7557
Epoch [12/500], TrainLoss: 588306.2891, TestLoss: 540950.8949
Epoch [13/500], TrainLoss: 579366.9496, TestLoss: 532144.4205
Epoch [14/500], TrainLoss: 569958.7045, TestLoss: 522997.9062
Epoch [15/500], TrainLoss: 560246.9268, TestLoss: 513514.5312
Epoch [16/500], TrainLoss: 549897.3374, TestLoss: 503740.0284
Epoch [17/500], TrainLoss: 539591.8871, TestLoss: 493709.9375
Epoch [18/500], TrainLoss: 529191.5376, TestLoss: 483421.0256
Epoch [19/500], TrainLoss: 518211.7173, TestLoss: 472943.5511
Epoch [20/500], TrainLoss: 507847.1818, TestLoss: 462317.5597
Epoch [21/500], TrainLoss: 496522.2337, TestLoss: 451517.7642
Epoch [22/500], TrainLoss: 485055.6818, TestLoss: 440604.3665
Epoch [23/500], TrainLoss: 473758.3949, TestLoss: 429644.5795
Epoch [24/500], TrainLoss: 462237.2116, TestLoss: 418592.8949
Epoch [25/500], TrainLoss: 450792.7749, TestLoss: 407455.4148
Epoch [26/500], TrainLoss: 439067.9574, TestLoss: 396449.3097
Epoch [27/500], TrainLoss: 427336.4240, TestLoss: 385352.6676
Epoch [28/500], TrainLoss: 415708.5291, TestLoss: 374343.2869
Epoch [29/500], TrainLoss: 404803.3274, TestLoss: 363464.1875
Epoch [30/500], TrainLoss: 393014.8572, TestLoss: 352644.7614
Epoch [31/500], TrainLoss: 381888.0852, TestLoss: 341955.9631
Epoch [32/500], TrainLoss: 370424.5334, TestLoss: 331419.3295
Epoch [33/500], TrainLoss: 359435.3587, TestLoss: 321026.6051
Epoch [34/500], TrainLoss: 348943.7699, TestLoss: 310838.3409
Epoch [35/500], TrainLoss: 338064.4822, TestLoss: 300878.5795
Epoch [36/500], TrainLoss: 327558.9822, TestLoss: 291113.4119
Epoch [37/500], TrainLoss: 317387.7990, TestLoss: 281511.0483
Epoch [38/500], TrainLoss: 306974.6570, TestLoss: 272053.3423
Epoch [39/500], TrainLoss: 297488.2717, TestLoss: 262897.2571
Epoch [40/500], TrainLoss: 287984.0781, TestLoss: 254032.0043
Epoch [41/500], TrainLoss: 278263.3274, TestLoss: 245413.7855
Epoch [42/500], TrainLoss: 269239.9943, TestLoss: 237120.1918
Epoch [43/500], TrainLoss: 260417.0202, TestLoss: 229059.9744
Epoch [44/500], TrainLoss: 252224.5440, TestLoss: 221391.9261
Epoch [45/500], TrainLoss: 244369.0756, TestLoss: 214104.8281
Epoch [46/500], TrainLoss: 236192.6740, TestLoss: 207010.4801
Epoch [47/500], TrainLoss: 229119.3178, TestLoss: 200367.1562
Epoch [48/500], TrainLoss: 221539.6225, TestLoss: 193873.1165
Epoch [49/500], TrainLoss: 214995.1477, TestLoss: 187837.2741
Epoch [50/500], TrainLoss: 208305.4162, TestLoss: 182074.2571
Epoch [51/500], TrainLoss: 202138.0817, TestLoss: 176613.2273
Epoch [52/500], TrainLoss: 196445.8690, TestLoss: 171494.9375
Epoch [53/500], TrainLoss: 190891.6982, TestLoss: 166660.6236
Epoch [54/500], TrainLoss: 185498.2848, TestLoss: 161996.8722
Epoch [55/500], TrainLoss: 180470.9545, TestLoss: 157740.8565
Epoch [56/500], TrainLoss: 175893.4233, TestLoss: 153705.2841
Epoch [57/500], TrainLoss: 171420.0364, TestLoss: 149910.3182
Epoch [58/500], TrainLoss: 167273.7788, TestLoss: 146357.0959
Epoch [59/500], TrainLoss: 163329.4851, TestLoss: 143031.6413
Epoch [60/500], TrainLoss: 159642.6287, TestLoss: 139929.1818
Epoch [61/500], TrainLoss: 155987.7793, TestLoss: 136991.9297
Epoch [62/500], TrainLoss: 152846.9654, TestLoss: 134235.5803
Epoch [63/500], TrainLoss: 149802.4453, TestLoss: 131631.6541
Epoch [64/500], TrainLoss: 146847.2915, TestLoss: 129172.9141
Epoch [65/500], TrainLoss: 143858.9476, TestLoss: 126812.2209
Epoch [66/500], TrainLoss: 141103.5465, TestLoss: 124549.1641
Epoch [67/500], TrainLoss: 138429.5815, TestLoss: 122372.9354
Epoch [68/500], TrainLoss: 135874.7786, TestLoss: 120267.3125
Epoch [69/500], TrainLoss: 133337.2259, TestLoss: 118314.3232
Epoch [70/500], TrainLoss: 130880.5099, TestLoss: 116428.0589
Epoch [71/500], TrainLoss: 128505.3205, TestLoss: 114620.2536
Epoch [72/500], TrainLoss: 126107.4052, TestLoss: 112870.1697
Epoch [73/500], TrainLoss: 124084.4611, TestLoss: 111157.4588
Epoch [74/500], TrainLoss: 122151.8045, TestLoss: 109442.3771
Epoch [75/500], TrainLoss: 120173.7706, TestLoss: 107725.7251
Epoch [76/500], TrainLoss: 118103.1527, TestLoss: 105995.5938
Epoch [77/500], TrainLoss: 116049.3819, TestLoss: 104218.8416
Epoch [78/500], TrainLoss: 113978.9421, TestLoss: 102401.0206
Epoch [79/500], TrainLoss: 111855.8888, TestLoss: 100534.6754
Epoch [80/500], TrainLoss: 109914.9638, TestLoss: 98633.9446
Epoch [81/500], TrainLoss: 107862.8040, TestLoss: 96631.3118
Epoch [82/500], TrainLoss: 105604.3063, TestLoss: 94585.5327
Epoch [83/500], TrainLoss: 103602.1009, TestLoss: 92598.3338
Epoch [84/500], TrainLoss: 101525.5103, TestLoss: 90669.0568
Epoch [85/500], TrainLoss: 99553.9684, TestLoss: 88765.8224
Epoch [86/500], TrainLoss: 97536.7445, TestLoss: 86948.0994
Epoch [87/500], TrainLoss: 95639.2637, TestLoss: 85165.2670
Epoch [88/500], TrainLoss: 93883.0204, TestLoss: 83436.8913
Epoch [89/500], TrainLoss: 92008.6602, TestLoss: 81824.7884
Epoch [90/500], TrainLoss: 90263.2411, TestLoss: 80202.1122
Epoch [91/500], TrainLoss: 88428.8794, TestLoss: 78696.3821
Epoch [92/500], TrainLoss: 86809.1165, TestLoss: 77116.5703
Epoch [93/500], TrainLoss: 85146.1046, TestLoss: 75668.5028
Epoch [94/500], TrainLoss: 83493.5534, TestLoss: 74126.5643
Epoch [95/500], TrainLoss: 81944.8269, TestLoss: 72673.4727
Epoch [96/500], TrainLoss: 80301.3475, TestLoss: 71306.3192
Epoch [97/500], TrainLoss: 78823.4178, TestLoss: 69910.1197
Epoch [98/500], TrainLoss: 77101.5593, TestLoss: 68588.2152
Epoch [99/500], TrainLoss: 75643.3189, TestLoss: 67237.9418
Epoch [100/500], TrainLoss: 74246.4407, TestLoss: 65996.7386
Epoch [101/500], TrainLoss: 72752.0577, TestLoss: 64814.3693
Epoch [102/500], TrainLoss: 71260.3707, TestLoss: 63636.6023
Epoch [103/500], TrainLoss: 69889.9527, TestLoss: 62532.9272
Epoch [104/500], TrainLoss: 68589.3703, TestLoss: 61368.1587
Epoch [105/500], TrainLoss: 67315.6175, TestLoss: 60287.6879
Epoch [106/500], TrainLoss: 66135.3514, TestLoss: 59256.5174
Epoch [107/500], TrainLoss: 64822.0657, TestLoss: 58272.7408
Epoch [108/500], TrainLoss: 63733.2013, TestLoss: 57274.2134
Epoch [109/500], TrainLoss: 62584.6424, TestLoss: 56263.9957
Epoch [110/500], TrainLoss: 61446.5348, TestLoss: 55320.9261
Epoch [111/500], TrainLoss: 60256.2696, TestLoss: 54473.1051
Epoch [112/500], TrainLoss: 59293.2376, TestLoss: 53631.3633
Epoch [113/500], TrainLoss: 58246.0117, TestLoss: 52758.5639
Epoch [114/500], TrainLoss: 57232.3833, TestLoss: 51870.3452
Epoch [115/500], TrainLoss: 56279.8079, TestLoss: 51113.0671
Epoch [116/500], TrainLoss: 55327.1518, TestLoss: 50269.4151
Epoch [117/500], TrainLoss: 54380.1360, TestLoss: 49520.6875
Epoch [118/500], TrainLoss: 53434.4238, TestLoss: 48753.5483
Epoch [119/500], TrainLoss: 52557.4663, TestLoss: 48030.7717
Epoch [120/500], TrainLoss: 51698.7923, TestLoss: 47332.6921
Epoch [121/500], TrainLoss: 50792.9874, TestLoss: 46580.8335
Epoch [122/500], TrainLoss: 50002.7638, TestLoss: 45894.7585
Epoch [123/500], TrainLoss: 49195.3959, TestLoss: 45228.1062
Epoch [124/500], TrainLoss: 48380.8538, TestLoss: 44562.6072
Epoch [125/500], TrainLoss: 47529.9172, TestLoss: 43909.1069
Epoch [126/500], TrainLoss: 46806.1370, TestLoss: 43236.6346
Epoch [127/500], TrainLoss: 46016.3863, TestLoss: 42597.9073
Epoch [128/500], TrainLoss: 45328.3134, TestLoss: 41936.7244
Epoch [129/500], TrainLoss: 44636.4958, TestLoss: 41469.7159
Epoch [130/500], TrainLoss: 43930.1224, TestLoss: 40810.3043
Epoch [131/500], TrainLoss: 43200.0711, TestLoss: 40269.4398
Epoch [132/500], TrainLoss: 42436.8639, TestLoss: 39561.9414
Epoch [133/500], TrainLoss: 41774.6879, TestLoss: 39018.2223
Epoch [134/500], TrainLoss: 41224.8728, TestLoss: 38350.2296
