Epoch [1/500], TrainLoss: 644303.3409, TestLoss: 599256.8750
Epoch [2/500], TrainLoss: 643535.2429, TestLoss: 599041.3125
Epoch [3/500], TrainLoss: 643521.7628, TestLoss: 598785.9432
Epoch [4/500], TrainLoss: 643492.7585, TestLoss: 598472.2273
Epoch [5/500], TrainLoss: 642631.4553, TestLoss: 598084.0170
Epoch [6/500], TrainLoss: 642762.3693, TestLoss: 597615.3580
Epoch [7/500], TrainLoss: 641414.8935, TestLoss: 597045.1080
Epoch [8/500], TrainLoss: 641248.2315, TestLoss: 596368.3977
Epoch [9/500], TrainLoss: 640006.6080, TestLoss: 595570.7955
Epoch [10/500], TrainLoss: 639487.4673, TestLoss: 594645.3295
Epoch [11/500], TrainLoss: 638352.0227, TestLoss: 593582.0057
Epoch [12/500], TrainLoss: 637398.4261, TestLoss: 592382.1591
Epoch [13/500], TrainLoss: 635741.1527, TestLoss: 591023.3352
Epoch [14/500], TrainLoss: 634568.9545, TestLoss: 589510.6818
Epoch [15/500], TrainLoss: 632262.0298, TestLoss: 587829.6818
Epoch [16/500], TrainLoss: 630845.2259, TestLoss: 585996.0398
Epoch [17/500], TrainLoss: 628524.9034, TestLoss: 583986.4489
Epoch [18/500], TrainLoss: 626306.0895, TestLoss: 581801.2841
Epoch [19/500], TrainLoss: 623978.7372, TestLoss: 579445.3580
Epoch [20/500], TrainLoss: 620856.8608, TestLoss: 576897.1875
Epoch [21/500], TrainLoss: 618851.2649, TestLoss: 574166.1420
Epoch [22/500], TrainLoss: 615077.3565, TestLoss: 571248.2614
Epoch [23/500], TrainLoss: 612193.2436, TestLoss: 568128.5455
Epoch [24/500], TrainLoss: 608662.6037, TestLoss: 564852.7330
Epoch [25/500], TrainLoss: 605078.7102, TestLoss: 561404.8239
Epoch [26/500], TrainLoss: 601217.1712, TestLoss: 557729.7727
Epoch [27/500], TrainLoss: 597303.5007, TestLoss: 553897.7642
Epoch [28/500], TrainLoss: 592919.8594, TestLoss: 549844.9830
Epoch [29/500], TrainLoss: 588387.3999, TestLoss: 545634.8182
Epoch [30/500], TrainLoss: 583630.2862, TestLoss: 541229.7983
Epoch [31/500], TrainLoss: 579370.1911, TestLoss: 536685.1136
Epoch [32/500], TrainLoss: 574123.0142, TestLoss: 531890.1392
Epoch [33/500], TrainLoss: 568833.5348, TestLoss: 526945.9858
Epoch [34/500], TrainLoss: 563864.4815, TestLoss: 521837.1562
Epoch [35/500], TrainLoss: 557767.5753, TestLoss: 516553.4631
Epoch [36/500], TrainLoss: 551927.7301, TestLoss: 511075.0170
Epoch [37/500], TrainLoss: 546508.3800, TestLoss: 505466.1080
Epoch [38/500], TrainLoss: 539838.5703, TestLoss: 499696.6420
Epoch [39/500], TrainLoss: 533748.4780, TestLoss: 493749.0739
Epoch [40/500], TrainLoss: 527449.6058, TestLoss: 487674.7045
Epoch [41/500], TrainLoss: 520897.0959, TestLoss: 481460.4545
Epoch [42/500], TrainLoss: 514026.5227, TestLoss: 475100.9972
Epoch [43/500], TrainLoss: 507027.8736, TestLoss: 468629.5256
Epoch [44/500], TrainLoss: 500289.8118, TestLoss: 462015.5938
Epoch [45/500], TrainLoss: 493117.6690, TestLoss: 455267.8210
Epoch [46/500], TrainLoss: 485934.7067, TestLoss: 448447.9062
Epoch [47/500], TrainLoss: 478327.1747, TestLoss: 441493.8210
Epoch [48/500], TrainLoss: 470520.6094, TestLoss: 434422.1761
Epoch [49/500], TrainLoss: 463373.1413, TestLoss: 427346.6193
Epoch [50/500], TrainLoss: 455271.7962, TestLoss: 420140.1080
Epoch [51/500], TrainLoss: 447822.1278, TestLoss: 412863.0455
Epoch [52/500], TrainLoss: 440051.1257, TestLoss: 405562.3977
Epoch [53/500], TrainLoss: 432525.0661, TestLoss: 398141.1023
Epoch [54/500], TrainLoss: 423860.5405, TestLoss: 390722.9830
Epoch [55/500], TrainLoss: 416594.8203, TestLoss: 383248.9801
Epoch [56/500], TrainLoss: 408093.6548, TestLoss: 375668.4403
Epoch [57/500], TrainLoss: 399973.0504, TestLoss: 368234.9403
Epoch [58/500], TrainLoss: 392026.7827, TestLoss: 360705.7188
Epoch [59/500], TrainLoss: 383894.5895, TestLoss: 353127.8750
Epoch [60/500], TrainLoss: 375800.7507, TestLoss: 345613.0568
Epoch [61/500], TrainLoss: 367780.1541, TestLoss: 338071.5994
Epoch [62/500], TrainLoss: 359746.1499, TestLoss: 330599.8324
Epoch [63/500], TrainLoss: 351837.6207, TestLoss: 323100.9318
Epoch [64/500], TrainLoss: 343640.5732, TestLoss: 315692.0341
Epoch [65/500], TrainLoss: 335658.5085, TestLoss: 308294.8097
Epoch [66/500], TrainLoss: 328460.6229, TestLoss: 301001.4631
